stateA,stateB,Direction,Value,A_state,A_long,A_lat,B_state,B_long,B_lat
Delaware,Arizona,in-mover,99,Delaware,-75.505,38.9896,Arizona,-111.6602,34.2744
Delaware,Arizona,out-mover,572,Delaware,-75.505,38.9896,Arizona,-111.6602,34.2744
Florida,Arizona,in-mover,6931,Florida,-82.4497,28.6305,Arizona,-111.6602,34.2744
Florida,Arizona,out-mover,7944,Florida,-82.4497,28.6305,Arizona,-111.6602,34.2744
Georgia,Arizona,in-mover,3290,Georgia,-83.4426,32.6415,Arizona,-111.6602,34.2744
Georgia,Arizona,out-mover,4057,Georgia,-83.4426,32.6415,Arizona,-111.6602,34.2744
Hawaii,Arizona,in-mover,1838,Hawaii,-156.3737,20.2927,Arizona,-111.6602,34.2744
Hawaii,Arizona,out-mover,2518,Hawaii,-156.3737,20.2927,Arizona,-111.6602,34.2744
Idaho,Arizona,in-mover,3573,Idaho,-114.613,44.3509,Arizona,-111.6602,34.2744
Idaho,Arizona,out-mover,3059,Idaho,-114.613,44.3509,Arizona,-111.6602,34.2744
Illinois,Arizona,in-mover,5412,Illinois,-89.1965,40.0417,Arizona,-111.6602,34.2744
Illinois,Arizona,out-mover,12332,Illinois,-89.1965,40.0417,Arizona,-111.6602,34.2744
Indiana,Arizona,in-mover,2416,Indiana,-86.2816,39.8942,Arizona,-111.6602,34.2744
Indiana,Arizona,out-mover,3724,Indiana,-86.2816,39.8942,Arizona,-111.6602,34.2744
Iowa,Arizona,in-mover,2233,Iowa,-93.496,42.0751,Arizona,-111.6602,34.2744
Iowa,Arizona,out-mover,3213,Iowa,-93.496,42.0751,Arizona,-111.6602,34.2744
Kansas,Arizona,in-mover,2063,Kansas,-98.3804,38.4937,Arizona,-111.6602,34.2744
Kansas,Arizona,out-mover,3212,Kansas,-98.3804,38.4937,Arizona,-111.6602,34.2744
Kentucky,Arizona,in-mover,950,Kentucky,-85.3021,37.5347,Arizona,-111.6602,34.2744
Kentucky,Arizona,out-mover,1612,Kentucky,-85.3021,37.5347,Arizona,-111.6602,34.2744
Louisiana,Arizona,in-mover,658,Louisiana,-91.9968,31.0689,Arizona,-111.6602,34.2744
Louisiana,Arizona,out-mover,1544,Louisiana,-91.9968,31.0689,Arizona,-111.6602,34.2744
Maine,Arizona,in-mover,383,Maine,-69.2428,45.3695,Arizona,-111.6602,34.2744
Maine,Arizona,out-mover,380,Maine,-69.2428,45.3695,Arizona,-111.6602,34.2744
Maryland,Arizona,in-mover,1858,Maryland,-76.7909,39.055,Arizona,-111.6602,34.2744
Maryland,Arizona,out-mover,1908,Maryland,-76.7909,39.055,Arizona,-111.6602,34.2744
Massachusetts,Arizona,in-mover,1687,Massachusetts,-71.8083,42.2596,Arizona,-111.6602,34.2744
Massachusetts,Arizona,out-mover,2697,Massachusetts,-71.8083,42.2596,Arizona,-111.6602,34.2744
Michigan,Arizona,in-mover,4098,Michigan,-85.4102,44.3467,Arizona,-111.6602,34.2744
Michigan,Arizona,out-mover,6727,Michigan,-85.4102,44.3467,Arizona,-111.6602,34.2744
Minnesota,Arizona,in-mover,2993,Minnesota,-94.3053,46.2807,Arizona,-111.6602,34.2744
Minnesota,Arizona,out-mover,6625,Minnesota,-94.3053,46.2807,Arizona,-111.6602,34.2744
Mississippi,Arizona,in-mover,521,Mississippi,-89.6678,32.7364,Arizona,-111.6602,34.2744
Mississippi,Arizona,out-mover,909,Mississippi,-89.6678,32.7364,Arizona,-111.6602,34.2744
Missouri,Arizona,in-mover,2855,Missouri,-92.458,38.3566,Arizona,-111.6602,34.2744
Missouri,Arizona,out-mover,3939,Missouri,-92.458,38.3566,Arizona,-111.6602,34.2744
Montana,Arizona,in-mover,1209,Montana,-109.6333,47.0527,Arizona,-111.6602,34.2744
Montana,Arizona,out-mover,1941,Montana,-109.6333,47.0527,Arizona,-111.6602,34.2744
Nebraska,Arizona,in-mover,1506,Nebraska,-99.7951,41.5378,Arizona,-111.6602,34.2744
Nebraska,Arizona,out-mover,1628,Nebraska,-99.7951,41.5378,Arizona,-111.6602,34.2744
Nevada,Arizona,in-mover,6496,Nevada,-116.6312,39.3289,Arizona,-111.6602,34.2744
Nevada,Arizona,out-mover,7544,Nevada,-116.6312,39.3289,Arizona,-111.6602,34.2744
New Hampshire,Arizona,in-mover,642,New Hampshire,-71.5811,43.6805,Arizona,-111.6602,34.2744
New Hampshire,Arizona,out-mover,628,New Hampshire,-71.5811,43.6805,Arizona,-111.6602,34.2744
New Jersey,Arizona,in-mover,1173,New Jersey,-74.6728,40.1907,Arizona,-111.6602,34.2744
New Jersey,Arizona,out-mover,3677,New Jersey,-74.6728,40.1907,Arizona,-111.6602,34.2744
New Mexico,Arizona,in-mover,5092,New Mexico,-106.1126,34.4071,Arizona,-111.6602,34.2744
New Mexico,Arizona,out-mover,7611,New Mexico,-106.1126,34.4071,Arizona,-111.6602,34.2744
New York,Arizona,in-mover,4103,New York,-75.5268,42.9538,Arizona,-111.6602,34.2744
New York,Arizona,out-mover,5125,New York,-75.5268,42.9538,Arizona,-111.6602,34.2744
North Carolina,Arizona,in-mover,4613,North Carolina,-79.3877,35.5557,Arizona,-111.6602,34.2744
North Carolina,Arizona,out-mover,4996,North Carolina,-79.3877,35.5557,Arizona,-111.6602,34.2744
